id;name;url;team;position;value;growth;goals;assists;red;yellow;shots;saves;games_played;popularity;trend;index
ben_mee;Ben Mee;/da/premier-league-fantasy-fall-2018/players/ben_mee;Burnley;Forsvar;3026000;26.000;-;1;-;-;-;-;100%;0.029;2,9%;-32
stephen_ward;Stephen Ward;/da/premier-league-fantasy-fall-2018/players/stephen_ward;Burnley;Forsvar;3003000;3.000;-;-;-;1;1;-;75%;0.004;0,4%;-2
phillip_bardsley;Phillip Bardsley;/da/premier-league-fantasy-fall-2018/players/phillip_bardsley;Burnley;Forsvar;1931000;-69.000;-;-;-;1;-;-;25%;0.002;0,2%;4
kevin_long;Kevin Long;/da/premier-league-fantasy-fall-2018/players/kevin_long;Burnley;Forsvar;2480000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-2
jack_cork;Jack Cork;/da/premier-league-fantasy-fall-2018/players/jack_cork;Burnley;Midtbane;3406000;-94.000;-;-;-;1;-;-;100%;0.001;0,1%;-3
robbie_brady;Robbie Brady;/da/premier-league-fantasy-fall-2018/players/robbie_brady;Burnley;Midtbane;2980000;-20.000;-;-;-;-;-;-;0%;0.002;0,2%;-2
jeff_hendrick;Jeff Hendrick;/da/premier-league-fantasy-fall-2018/players/jeff_hendrick;Burnley;Midtbane;3081000;81.000;1;-;-;-;3;-;100%;0.002;0,2%;-3
steven_defour;Steven Defour;/da/premier-league-fantasy-fall-2018/players/steven_defour;Burnley;Midtbane;2480000;-20.000;-;-;-;-;-;-;0%;0.007;0,7%;-3
johann_gudmundsson;Johann Gudmundsson;/da/premier-league-fantasy-fall-2018/players/johann_gudmundsson;Burnley;Midtbane;4029000;29.000;-;1;-;-;1;-;75%;0.004;0,4%;-7
ashley_westwood;Ashley Westwood;/da/premier-league-fantasy-fall-2018/players/ashley_westwood;Burnley;Midtbane;2926000;-74.000;-;-;-;-;-;-;100%;0.001;0,1%;-
aaron_lennon;Aaron Lennon;/da/premier-league-fantasy-fall-2018/players/aaron_lennon;Burnley;Midtbane;3436000;-64.000;-;-;-;-;1;-;100%;0.003;0,3%;-1
sam_vokes;Sam Vokes;/da/premier-league-fantasy-fall-2018/players/sam_vokes;Burnley;Angreb;2980000;-20.000;-;-;-;-;2;-;100%;0.004;0,4%;2
ashley_barnes;Ashley Barnes;/da/premier-league-fantasy-fall-2018/players/ashley_barnes;Burnley;Angreb;4470000;-30.000;-;-;-;-;1;-;100%;0.002;0,2%;1
chris_wood3;Chris Wood;/da/premier-league-fantasy-fall-2018/players/chris_wood3;Burnley;Angreb;5464000;-36.000;-;-;-;-;3;-;100%;0.004;0,4%;-2
daniel_ebenezer_agyei;Daniel Agyei;/da/premier-league-fantasy-fall-2018/players/daniel_ebenezer_agyei;Burnley;Angreb;1980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
josh_murphy;Josh Murphy;/da/premier-league-fantasy-fall-2018/players/josh_murphy;Cardiff;Midtbane;3003000;3.000;-;-;-;-;-;-;75%;0.001;0,1%;-2
neil_etheridge;Neil Etheridge;/da/premier-league-fantasy-fall-2018/players/neil_etheridge;Cardiff;Mål;3413000;413.000;-;-;-;-;-;17;100%;0.007;0,7%;-1
brian_murphy;Brian Murphy;/da/premier-league-fantasy-fall-2018/players/brian_murphy;Cardiff;Mål;2480000;-20.000;-;-;-;-;-;-;0%;0.004;0,4%;1
lee_peltier;Lee Peltier;/da/premier-league-fantasy-fall-2018/players/lee_peltier;Cardiff;Forsvar;2441000;-59.000;-;-;-;1;-;-;25%;0.001;0,1%;-
